bar name	bar_id	item name	price	category
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cappuccino	2.5	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Capricciosa	12	Pizza   Al Pomodoro Tomato Base)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Caravaggio Chenin Blanc   Malta	19.5	White Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cerasuolo di Abruzzo Rosé Agronika   Italy	16.5	Rosé Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cheese Burger	10	Burgers Home Made)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cheval Franc   Marsovin, Malta	36	Red Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chianti   Il Palazzo, Italy	23	Red Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chicken & Mushroom Pasta	13.5	Pasta & Risotto
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chicken Nuggets	7.5	Kids Menu
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chicken Thigh Burger	13.5	Burgers Home Made)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chicken Thigh Wrap	10	Wraps Served Until 6PM)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chicken Tzatziki	13.5	Salads
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chicken Wings	7	Kids Menu
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chill Lemon	2.4	Bottled Beer & Ciders
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Chocolate Milkshake	5	Milkshakes
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cisk Excel Half Pint	2.4	Tap Beer & Beer Tower
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cisk Excel Pint	4.8	Tap Beer & Beer Tower
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cisk Lager Half Pint	2.4	Tap Beer & Beer Tower
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cisk Lager Pint	4.8	Tap Beer & Beer Tower
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cold Cuts & Cheese	16	Starters to Share   Sharing Platters
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cookies Milkshake	6	Milkshakes
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Coral Cave	4.9	Craft & Seasonal Beer
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Coral Cave   Small	3.7	Craft & Seasonal Beer
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Corona	3.5	Bottled Beer & Ciders
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cuban Mojito	8	Classic Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cuban Virgin Mojito	6	Mocktails Non Alcoholic Cocktails)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Cynar Spritz	8	Apéritifs
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Daiquiri	8.5	Classic Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Dell’Etna	15	Pizza   Bianca White Base)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Disfrutando 0.0, VG   Spain	19	Non Alcoholic Wine
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Double Espresso	2.2	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Drappier Carte D'Or Brut Champagne   France	55	Sparkling & Champagne
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Espresso	1.5	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Espresso Lungo	1.5	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Exotic Punch	6	Mocktails Non Alcoholic Cocktails)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Falafel Balls	6.5	Tapas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Falafel Halloumi Burger	13.5	Burgers Home Made)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Falanghina   Corteregia, Italy	21.5	White Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Farsons Blue Label Half Pint	3.5	Tap Beer & Beer Tower
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Farsons Blue Label Pint	5.5	Tap Beer & Beer Tower
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Focaccia	8	Pizza   Focaccia
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Fresh Lemonade	4	Smoothies & Fresh Juices
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Fresh Orange Juice	4	Smoothies & Fresh Juices
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Fresh Salad	3	Sides & Extras
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Fried Calamari	13	Tapas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Fries	3	Sides & Extras
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Fritto Misto	18	Starters to Share   Sharing Platters
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Frutti di Mare Tagliolini or Risotto)	17	Pasta & Risotto
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Garganelli Maltese	13.5	Pasta & Risotto
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Garganelli Norma	12.5	Pasta & Risotto
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Gavi di Gavi   Picollo, Italy	24	White Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Gavi di Gavi White)	6	Wine by the Glass 175ml)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Gin Blossom Spritz	9	Signature Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Gingered Peach Punch	9	Signature Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Golden Bay	4.9	Craft & Seasonal Beer
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Golden Bay   Small	3.7	Craft & Seasonal Beer
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Gorgonzola Cream Souce	2	Sides & Extras
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Greca	12.5	Salads
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Greco di Tufo   Torricino, Italy	22.5	White Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Greek Focaccia	15	Pizza   Focaccia
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Grilled Salmon in Asparagus Sauce	21.5	Mains
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Grilled Vegetables	3	Sides & Extras
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Guinness	4.8	Bottled Beer & Ciders
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Heineken Half Pint	2.4	Tap Beer & Beer Tower
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Heineken Pint	4.8	Tap Beer & Beer Tower
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Herbal Teas	2.5	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Hobgoblin Ruby Beer	5.8	Bottled Beer & Ciders
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Homemade Ginger, Honey, Lemon & Mint Tea	3	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Hot Chocolate	3	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Iced Coffee	3.5	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Instant Coffee	1	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Jack at Zion	10	Classic Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Jamaican Burger	14.5	Burgers Home Made)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Kids Burger	8.5	Kids Menu
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Kids Pasta	7.5	Kids Menu
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Kids Pizza	10	Kids Menu
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Kombucha	3.5	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	La Torre Gellewza Shiraz   Malta	16	Red Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	La Torre Girgentina   Malta	16	White Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	La Torre White)	4.5	Wine by the Glass 175ml)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Lady in Purple	10	Classic Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Latte	3	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Limoncello Spritz	8	Apéritifs
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Long Island Iced Tea	12	Classic Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Macchiato	1.7	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Maltese	13	Pizza   Bianca White Base)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Maltese Rabbit To Share)	41.5	Mains
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Mango Sangria	11	Signature Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Margarita	8.5	Classic Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Margherita	10	Pizza   Al Pomodoro Tomato Base)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Marittima	14.5	Pizza   Al Pomodoro Tomato Base)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Mediterranean Chicken Breast	18	Mains
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Mediterranean Halloumi	6.5	Tapas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Mexican Burro	11	Signature Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Mexican Sauce	1.5	Burger Extras
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Micro Greens	12.5	Salads
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Moretti	3.8	Bottled Beer & Ciders
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Moscato D'Asti   Fabio Perrone, Italy	22	Sweet Sparkling Wine
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Mushrooms souce	2	Sides & Extras
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Negroni	8	Classic Cocktails
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Non Alcoholic Beer	2.5	Bottled Beer & Ciders
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Norma	12	Pizza   Al Pomodoro Tomato Base)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	One Love	12	Pizza   Al Pomodoro Tomato Base)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Oreo Milkshake	6	Milkshakes
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Palatino Rosé   Cassar Camilleri, Malta	17.5	Rosé Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Palatino Sauvignon Blanc   Malta	17.5	White Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Pappardelle Beef Ragu	16	Pasta & Risotto
... (rest of data omitted for brevity in this message)
