bar_name	bar_id	country	item_name	price	category
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Char Sui Chicken	21.5	Mains
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Chicken Caesar Salad	13.5	Salads
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Chicken Ciabatta	9.5	Light Bites
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Chicken Lollipops	14.5	Starters
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Chicken Nuggets & Chips	6.5	Kids Menu
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Chicken Roulade	24.5	Mains
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Chicken Sandwich	13.5	Burgers
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Cisk Chill Lemon (5% vol)	3.2	Beers
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Cisk Excel (5% vol)	3.2	Beers
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Coca Cola	4	Beverages
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Coca Cola Zero	4	Beverages
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Country Risotto	14.5	Pasta & Rice
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Crispy Pork Belly	22.5	Mains
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Deep Fried Burrata	13.5	Starters
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Fanta	4	Beverages
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Aglio E Olio	13.95	Pasta & Risotto
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Aqua Panna Still Water (250ml)	2.35	Beverages
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Asian Platter	29	PLATTERS
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Avocado Roll	6.95	Hosomaki Rolls
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Bacon Cheese Burger	12.5	Burgers
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Baked Salmon	22	MAIN COURSES
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Bangkok Chicken	19.95	Hot Pots & Curries
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Beef Gyoza	9.95	Dumplings
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Beef Salad	15	SALADS
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Beef Tagliata	26	MAIN COURSES
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Blue Cheese Burger	12.5	BURGERS
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Brewdog Punk IPA	6.6	Beers
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Bruschetta	8	FOCACCIA
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Buddha Platter (66 pcs)	59.5	Sushi Platters
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Budweiser (330ml)	3.6	Beers & Ciders
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	California Roll	9.95	Uramaki Rolls (Tempura Selection)
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Coca-Cola	2.6	Soft Drinks
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Crispy Beef	16	CHINESE DISHES
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Crispy Chicken Burger	12.5	BURGERS
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Cucumber Roll	6.95	Hosomaki Rolls
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Curry Rice	15.5	Rice
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Double Bacon Cheese Burger	17	Burgers
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Duck Spring Rolls (3 pcs)	9.95	Starters
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Drunken Cantonese Duck Noodles 🌶️🌶️	25.95	Rice & Noodles
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Egg Fried Rice	7.95	Sides
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	English Breakfast	7.5	BREAKFAST
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Guinness	5.5	Beers
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Heineken	3.1	Beers
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Jungle Joy Beer	5.1	Beers
The Long Hall Irish Pub	96bb748e-e827-4b04-9d18-e7b1df0c0f82	Malta	Spaghetti Bolognese	14.4	Pasta
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	BBQ 1/2 Chicken	17.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Beer Battered Onion Rings (V)	8.5	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Bruschetta (V)	5.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Butterfly Chicken Breast	17.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Camembert Cheese Bites	9.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Cheese Stealth Fries (V) (H)	5.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Cheesy Bruschetta (V)	6.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Chicken & Leek Pie	16.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Chicken & Pork Combo	18.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Chicken & Spianata Nachos	15.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Chicken Satay Skewers	10.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Cold Cuts & Cheese Platter	32.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Crispy Chicken Wings	11.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Deep Fried Calamari	14.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Drinker's Favourite	42.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Fish Cod Bites	9.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Fish Cod Goujons	9.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Fish Popcorn	9.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Gammon Steak	17.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Grilled Lamb Kofta	10.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Meat Balls	9.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Mini Angus Cheese Burgers (4 Pieces)	12.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Oven Baked Salmon Fillet	18.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Proper Stealth Fries (V)	5.5	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Royal Chicken Caesar	15.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Royal Salmon Caesar	17.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Scampi & Chips	13.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Seafood & Fish Platter	39.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Shepherd's Pie	14.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Sirloin Steak	26.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Southern Fried Chicken Strips	10.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Spicy Pork Sausages	7.5	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Steak & Kidney Pie	16.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	T-Bone Steak	29.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	The Londoner Fish & Chips	16.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	The Londoner Platter	42.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Traditional Focaccia (V)	9.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Traditional Nachos (V)	12.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Ultimate Garlic Bread (V)	6.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Ultimate Garlic Bread with Cheese (V)	7.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	Vegetable Spring Rolls (V)	7.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	West End Oriental Platter	39.95	Food
The Londoner Pub Sliema	d215a76f-458e-4d4c-8c58-1cbf60a2d715	Malta	XXL Pork Ribs Full Rack	26.95	Food
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	280g Fresh Grilled Chicken Breast	19.95	GRILLS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Alison’s Soft Baked Milk Chocolate Cookie	6.95	DESSERTS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Apple Crumble	6.5	DESSERTS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Baked Potato Gnocchi	13.5	PASTA
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Bangers & Mash	14.95	CLASSICS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Beer Battered Onion Rings (V)	8.5	NIBBLES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Breaded Chicken Burger	15.95	BURGERS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Bruschetta (V)	5.95	NIBBLES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Burger & Chips	12.95	KIDS MENU
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Camembert Cheese Bites	9.95	NIBBLES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Cheese Stealth Fries (V) (H)	5.95	NIBBLES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Cheesy Bruschetta (V)	6.95	NIBBLES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Chicken & Spianata Nachos	15.95	STARTERS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Chicken Nuggets & Chips	10.95	KIDS MENU
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Chicken Satay Skewers	10.95	STARTERS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Chicken Tikka Masala (H)	16.95	CLASSICS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Chicken, Mushroom & Bacon Pie	14.95	PIES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Cisk Chill Lemon (330ml)	3.05	BEERS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Cisk Excel (330ml)	3.05	BEERS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Cisk Lager (330ml)	3.05	BEERS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Coca Cola (330ml)	2.6	COLD BEVERAGES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Coke Zero (330ml)	2.6	COLD BEVERAGES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Cold Cuts & Cheese Platter	32.95	PLATTERS
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Crispy Chicken Wings	11.95	NIBBLES
The Londoner British Pub Sliema	2ff677ff-52d1-4d0d-ba33-f69e91797673	Malta	Deep Fried Calamari	14.95	STARTERS
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Apple Pie	5.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Bacon Cheeseburger	15.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	BBQ Burger	15.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	BBQ Chicken Salad	14.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	BBQ Ribs	24.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Beer Battered Onion Rings	8.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Beer Braised Sausages	16.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Beer Flight	12.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Blue Cheese Burger	16.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Brew IPA	5.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Brew Sampler Platter	19.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Brewmaster Burger	18.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Buffalo Wings	10.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Caesar Salad	10.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Calamari	11.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Cheesecake	6.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Chicken Fajitas	17.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Chicken Tenders	9.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Chocolate Brownie	6.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Classic Burger	13.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Cobb Salad	13.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Dark Stout	6.5	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Fish & Chips	16.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Golden Lager	5.5	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Greek Salad	11.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Grilled Ribeye	28.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Grilled Salmon	19.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Ice Cream Sundae	5.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Loaded Nachos	12.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Long Island Iced Tea	10.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Margarita	8.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Mojito	8.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Moscow Mule	9.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Mozzarella Sticks	9.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Mushroom Swiss Burger	15.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Old Fashioned	9.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Pale Ale	5.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Potato Skins	10.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Pulled Pork Sandwich	14.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Seasonal Brew	6.95	Beverages
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Shepherd's Pie	15.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Spicy Jalapeño Burger	15.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Sticky Toffee Pudding	6.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Veggie Burger	13.95	Food
The Brew Grill & Brewery	6d3df420-08b9-4b9b-8524-a6d85e99fd43	Malta	Wheat Beer	5.95	Beverages
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Bitter Lemon	2.85	BEVERAGES
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Caesar Salad	17.95	SALADS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Cheesy Chips	8.5	APPETIZERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Chicken Caesar Burger	13.9	BURGERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Chicken Wings (400g)	12	APPETIZERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Coca Cola (250ml)	2.85	BEVERAGES
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Coca Cola Zero (250ml)	2.85	BEVERAGES
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Crispy Fried Sardines	12	APPETIZERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Django	16.95	DRY AGED BEEF BURGERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Fanta (250ml)	2.85	BEVERAGES
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Fried Salty Smelt Fish	12	APPETIZERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Ginger Ale	2.85	BEVERAGES
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Golden Ale (1L)	9	HOMEMADE BEER
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Golden Ale (2L)	17	HOMEMADE BEER
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Green Salad	11.95	SALADS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Grilled Chicken Breast	18	GRILL
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Grilled Salmon	22	SEAFOOD
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Grilled Sticky Ribs	15	GRILL
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Ice Tea Lemon	3.05	BEVERAGES
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Ice Tea Peach	3.05	BEVERAGES
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Inferno Wings (6 pcs)	12	HOUSE SPECIALS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Juicy Ribs	18	GRILL
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Large Fries	7	APPETIZERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Mozzarella Sticks	10	APPETIZERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Nachos	15	APPETIZERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	One Meter Ribs	59	HOUSE SPECIALS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Picke My Funny Bone Burger	15.95	DRY AGED BEEF BURGERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Pilsner (1L)	9	HOMEMADE BEER
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Pilsner (2L)	17	HOMEMADE BEER
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Pork Rib Burger	16.95	BURGERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Pork Schnitzel (400g)	21	GRILL
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Quesadilla	15	APPETIZERS
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Rib Eye Steak (350g)	33	GRILL
The Brew Bar Grill	b6011a39-9481-4e14-a787-49125f95d2da	Malta	Royal with Cheese	15.95	DRY AGED BEEF BURGERS
